bowler,format,innings_bowled,balls,runs_given,wickets,dot_balls,wides,noballs,overs,economy,average,dot_pct,strike_rate,five_wkts,four_wkts,best_wkts,best_bowling,matches
Mohammad Talha,Test,4,761,504.0,9,522,4,21,126.8,3.97,56.0,68.59,84.56,1.0,0.0,6.0,6/163.0,4
Prachi Kumari,T20I,11,182,196.0,9,74,14,2,30.3,6.46,21.78,40.66,20.22,0.0,1.0,4.0,4/17.0,13
SCJ Broad,BBL,8,181,243.0,9,67,6,4,30.2,8.06,27.0,37.02,20.11,0.0,0.0,2.0,2/17.0,8
SR Bhudia,T20I,16,196,188.0,9,90,8,0,32.7,5.76,20.89,45.92,21.78,0.0,0.0,3.0,3/0.0,54
S Sigaiwasa,T20I,12,178,154.0,9,85,13,4,29.7,5.19,17.11,47.75,19.78,0.0,0.0,2.0,2/5.0,13
M Levitt,ODI,12,450,355.0,9,249,3,0,75.0,4.73,39.44,55.33,50.0,0.0,0.0,3.0,3/49.0,17
A Mithun,Test,4,725,456.0,9,523,4,5,120.8,3.77,50.67,72.14,80.56,0.0,1.0,4.0,4/137.0,4
Qais Ahmad,PSL,6,138,247.0,9,38,7,0,23.0,10.74,27.44,27.54,15.33,0.0,0.0,3.0,3/20.0,6
Geovanis Uwase,T20I,12,169,150.0,9,101,15,1,28.2,5.33,16.67,59.76,18.78,0.0,0.0,3.0,3/11.0,31
AK Bangura,T20I,12,145,181.0,9,67,14,2,24.2,7.49,20.11,46.21,16.11,0.0,1.0,4.0,4/11.0,14
C Chatphaisan,T20I,10,133,139.0,9,65,9,1,22.2,6.27,15.44,48.87,14.78,0.0,0.0,2.0,2/18.0,56
TM Odoyo,T20I,6,127,106.0,9,71,6,1,21.2,5.01,11.78,55.91,14.11,0.0,0.0,3.0,3/17.0,7
M Batnasan,T20I,4,100,129.0,9,41,8,9,16.7,7.74,14.33,41.0,11.11,0.0,0.0,3.0,3/20.0,12
M Chabula,T20I,7,140,148.0,9,55,18,4,23.3,6.34,16.44,39.29,15.56,0.0,0.0,3.0,3/22.0,7
M Deyal,CPL,20,207,279.0,9,73,6,0,34.5,8.09,31.0,35.27,23.0,0.0,0.0,2.0,2/2.0,39
M Faheem,T20I,7,121,133.0,9,65,12,1,20.2,6.6,14.78,53.72,13.44,0.0,0.0,3.0,3/10.0,7
Yash Raj Punja,IPL,8,180,279.0,9,49,6,0,30.0,9.3,31.0,27.22,20.0,0.0,0.0,2.0,2/35.0,8
Mohammad Hasnain,BBL,7,146,183.0,9,69,8,0,24.3,7.52,20.33,47.26,16.22,0.0,1.0,4.0,4/22.0,8
JA Thompson,BBL,9,117,171.0,9,37,3,3,19.5,8.77,19.0,31.62,13.0,0.0,1.0,4.0,4/31.0,11
Mohammad Asif,IPL,8,193,296.0,9,71,6,1,32.2,9.2,32.89,36.79,21.44,0.0,0.0,2.0,2/19.0,8
Aftab Kayani,T20I,6,90,93.0,9,50,8,0,15.0,6.2,10.33,55.56,10.0,0.0,0.0,2.0,2/4.0,8
B Bhadriraju,T20I,6,114,95.0,9,46,3,0,19.0,5.0,10.56,40.35,12.67,1.0,0.0,5.0,5/8.0,6
S Siegers,ODI,9,295,276.0,9,155,13,1,49.2,5.61,30.67,52.54,32.78,0.0,0.0,2.0,2/9.0,9
Gurpreet Singh,T20I,9,163,181.0,9,77,4,1,27.2,6.66,20.11,47.24,18.11,0.0,0.0,3.0,3/9.0,11
RP Arnold,ODI,20,381,360.0,9,154,7,1,63.5,5.67,40.0,40.42,42.33,0.0,0.0,3.0,3/46.0,62
JDF Vandersay,T20I,17,368,489.0,9,113,4,0,61.3,7.97,54.33,30.71,40.89,0.0,0.0,2.0,2/26.0,17
Mohammad Aadil Alam,ODI,6,267,166.0,9,171,5,3,44.5,3.73,18.44,64.04,29.67,0.0,1.0,4.0,4/42.0,6
Mohammad Aadil Alam,T20I,9,132,151.0,9,50,4,0,22.0,6.86,16.78,37.88,14.67,0.0,1.0,4.0,4/22.0,11
JB Reva,T20I,7,116,127.0,9,54,0,1,19.3,6.57,14.11,46.55,12.89,0.0,0.0,2.0,2/5.0,8
A Vailoa,T20I,6,99,99.0,9,63,11,3,16.5,6.0,11.0,63.64,11.0,0.0,1.0,4.0,4/3.0,6
SW Tait,PSL,8,187,217.0,9,97,13,1,31.2,6.96,24.11,51.87,20.78,0.0,0.0,2.0,2/18.0,8
Sabnam Rai,T20I,13,239,226.0,9,140,10,0,39.8,5.67,25.11,58.58,26.56,0.0,0.0,2.0,2/3.0,14
I Muntean,T20I,8,155,160.0,9,80,37,5,25.8,6.19,17.78,51.61,17.22,0.0,0.0,3.0,3/18.0,9
P Parameswaran,IPL,8,155,224.0,9,66,4,1,25.8,8.67,24.89,42.58,17.22,0.0,0.0,3.0,3/29.0,8
BJ McMullen,T20I,19,249,370.0,9,98,4,4,41.5,8.92,41.11,39.36,27.67,0.0,0.0,2.0,2/33.0,30
S Sreesanth,T20I,9,205,288.0,9,110,14,1,34.2,8.43,32.0,53.66,22.78,0.0,0.0,2.0,2/12.0,9
Nadeem Khan,ODI,3,174,138.0,9,85,1,0,29.0,4.76,15.33,48.85,19.33,0.0,1.0,4.0,4/41.0,3
KJ O'Brien,CPL,6,72,95.0,9,31,3,0,12.0,7.92,10.56,43.06,8.0,0.0,1.0,4.0,4/21.0,17
DL Vettori,BBL,14,330,386.0,9,120,7,0,55.0,7.02,42.89,36.36,36.67,0.0,0.0,2.0,2/9.0,14
S Mtae,T20I,8,84,75.0,9,44,3,0,14.0,5.36,8.33,52.38,9.33,0.0,1.0,4.0,4/8.0,55
EL Arlott,T20I,6,145,191.0,9,61,7,1,24.2,7.9,21.22,42.07,16.11,0.0,0.0,3.0,3/12.0,6
SR Rocket,T20I,11,182,242.0,9,66,10,2,30.3,7.98,26.89,36.26,20.22,0.0,0.0,3.0,3/19.0,12
Zain Muzaffar,T20I,7,140,167.0,9,63,4,0,23.3,7.16,18.56,45.0,15.56,0.0,0.0,3.0,3/20.0,7
ML Schutt,Test,4,536,181.0,9,454,1,4,89.3,2.03,20.11,84.7,59.56,1.0,0.0,6.0,6/41.0,4
A Augastin,T20I,8,128,114.0,9,77,4,0,21.3,5.34,12.67,60.16,14.22,0.0,0.0,2.0,2/0.0,14
S Ravikumar,T20I,10,139,167.0,9,61,10,1,23.2,7.21,18.56,43.88,15.44,0.0,0.0,3.0,3/9.0,12
KOK Williams,ODI,7,331,293.0,9,164,9,1,55.2,5.31,32.56,49.55,36.78,0.0,1.0,4.0,4/42.0,8
KP Pietersen,IPL,13,174,215.0,9,57,6,0,29.0,7.41,23.89,32.76,19.33,0.0,0.0,2.0,2/14.0,36
C Liebenberg,T20I,7,114,142.0,9,41,3,0,19.0,7.47,15.78,35.96,12.67,0.0,1.0,4.0,4/19.0,7
KTH Ratnayake,Test,2,605,389.0,9,365,3,1,100.8,3.86,43.22,60.33,67.22,1.0,0.0,6.0,6/295.0,2
KJ Cottoy,CPL,5,96,99.0,9,37,2,0,16.0,6.19,11.0,38.54,10.67,1.0,0.0,5.0,5/17.0,11
Sufiyan Muqeem,ODI,4,223,182.0,8,114,3,1,37.2,4.9,22.75,51.12,27.88,0.0,1.0,4.0,4/52.0,4
KJ Garth,Test,4,552,265.0,8,426,1,0,92.0,2.88,33.12,77.17,69.0,0.0,0.0,3.0,3/77.0,4
Karma Dorji,T20I,15,183,223.0,8,76,13,2,30.5,7.31,27.88,41.53,22.88,0.0,0.0,3.0,3/4.0,15
Kamrul Islam Rabbi,Test,7,753,504.0,8,516,5,3,125.5,4.02,63.0,68.53,94.12,0.0,0.0,3.0,3/97.0,7
C Stow,BBL,6,119,146.0,8,30,0,0,19.8,7.36,18.25,25.21,14.88,0.0,0.0,2.0,2/24.0,6
A Dalzell,ODI,10,362,356.0,8,203,39,3,60.3,5.9,44.5,56.08,45.25,0.0,1.0,4.0,4/27.0,10
MJM Kavana,T20I,6,88,100.0,8,36,1,1,14.7,6.82,12.5,40.91,11.0,0.0,0.0,3.0,3/25.0,8
D Wabwire,T20I,7,130,149.0,8,69,6,3,21.7,6.88,18.62,53.08,16.25,0.0,0.0,3.0,3/19.0,7
ML Cummins,ODI,8,397,442.0,8,189,13,7,66.2,6.68,55.25,47.61,49.62,0.0,0.0,3.0,3/82.0,9
JM Apio,T20I,5,66,46.0,8,44,6,0,11.0,4.18,5.75,66.67,8.25,1.0,0.0,5.0,5/10.0,7
Nithish Kumar Reddy,Test,9,519,366.0,8,333,1,3,86.5,4.23,45.75,64.16,64.88,0.0,0.0,3.0,3/82.0,10
Ibrar Ahmad,T20I,7,102,164.0,8,37,14,3,17.0,9.65,20.5,36.27,12.75,1.0,0.0,5.0,5/24.0,7
O Davidson,ODI,9,396,322.0,8,215,1,0,66.0,4.88,40.25,54.29,49.5,0.0,0.0,2.0,2/28.0,9
D Ganesh,T20I,7,156,164.0,8,78,8,0,26.0,6.31,20.5,50.0,19.5,0.0,0.0,3.0,3/18.0,7
C Valente,BBL,12,210,318.0,8,48,4,0,35.0,9.09,39.75,22.86,26.25,0.0,0.0,2.0,2/36.0,14
Usman Shinwari,BBL,7,168,172.0,8,76,4,0,28.0,6.14,21.5,45.24,21.0,0.0,0.0,3.0,3/15.0,7
VO Lawes,CPL,8,144,241.0,8,45,2,0,24.0,10.04,30.12,31.25,18.0,0.0,0.0,3.0,3/29.0,8
ZP Ikiua,T20I,12,234,235.0,8,106,9,1,39.0,6.03,29.38,45.3,29.25,0.0,0.0,3.0,3/15.0,13
Bilal Masud,T20I,8,121,146.0,8,51,7,1,20.2,7.24,18.25,42.15,15.12,0.0,0.0,2.0,2/16.0,18
G Mckeon,T20I,11,166,192.0,8,72,8,1,27.7,6.94,24.0,43.37,20.75,0.0,0.0,3.0,3/27.0,30
B Doggett,Test,2,292,215.0,8,181,0,2,48.7,4.42,26.88,61.99,36.5,1.0,0.0,5.0,5/78.0,2
A Bosch,T20I,12,151,184.0,8,52,1,1,25.2,7.31,23.0,34.44,18.88,0.0,0.0,2.0,2/11.0,53
M Idambo,T20I,8,180,118.0,8,107,7,0,30.0,3.93,14.75,59.44,22.5,0.0,0.0,2.0,2/15.0,8
JC Tongue,T20I,4,97,163.0,8,41,3,1,16.2,10.08,20.38,42.27,12.12,0.0,1.0,4.0,4/28.0,4
Mohammad Ashraful,T20I,8,139,210.0,8,35,4,1,23.2,9.06,26.25,25.18,17.38,0.0,0.0,3.0,3/42.0,20
Agha Salman,PSL,20,211,291.0,8,63,4,0,35.2,8.27,36.38,29.86,26.38,0.0,0.0,1.0,1/7.0,46
GC Viljoen,IPL,6,138,222.0,8,47,8,0,23.0,9.65,27.75,34.06,17.25,0.0,0.0,3.0,3/38.0,6
Shahnawaz Dhani,T20I,11,213,320.0,8,85,8,1,35.5,9.01,40.0,39.91,26.62,0.0,0.0,2.0,2/35.0,11
S Bhari,T20I,8,151,185.0,8,59,1,1,25.2,7.35,23.12,39.07,18.88,0.0,0.0,2.0,2/22.0,8
DJ Hall,T20I,5,120,161.0,8,43,6,0,20.0,8.05,20.12,35.83,15.0,0.0,0.0,2.0,2/20.0,5
RN Lewis,ODI,9,385,333.0,8,174,3,4,64.2,5.19,41.62,45.19,48.12,0.0,0.0,3.0,3/43.0,11
E Marx,T20I,10,188,246.0,8,91,23,0,31.3,7.85,30.75,48.4,23.5,0.0,0.0,3.0,3/18.0,12
I Sharma,T20I,14,282,400.0,8,113,8,4,47.0,8.51,50.0,40.07,35.25,0.0,0.0,2.0,2/34.0,14
S Sugaya-Slater,T20I,14,188,220.0,8,80,16,3,31.3,7.02,27.5,42.55,23.5,0.0,0.0,2.0,2/19.0,14
S Talamarla,T20I,7,133,121.0,8,75,28,1,22.2,5.46,15.12,56.39,16.62,0.0,0.0,2.0,2/9.0,7
NT Nyamhuri,Test,3,319,224.0,8,213,2,2,53.2,4.21,28.0,66.77,39.88,1.0,0.0,6.0,6/88.0,3
Shariz Ahmad,T20I,12,168,222.0,8,58,3,0,28.0,7.93,27.75,34.52,21.0,0.0,0.0,2.0,2/15.0,14
Sheikh Rasik,T20I,10,174,189.0,8,71,4,0,29.0,6.52,23.62,40.8,21.75,0.0,0.0,3.0,3/24.0,10
CS MacLeod,ODI,33,733,620.0,8,389,41,5,122.2,5.08,77.5,53.07,91.62,0.0,0.0,2.0,2/41.0,62
Faheem Ashraf,BBL,9,197,264.0,8,65,6,2,32.8,8.04,33.0,32.99,24.62,0.0,0.0,3.0,3/18.0,9
Mohammad Ashraful,ODI,26,397,353.0,8,182,7,0,66.2,5.34,44.12,45.84,49.62,0.0,0.0,2.0,2/25.0,118
P Bhandari,T20I,9,153,177.0,8,86,44,4,25.5,6.94,22.12,56.21,19.12,0.0,0.0,2.0,2/8.0,10
I Udana,IPL,10,174,282.0,8,49,8,0,29.0,9.72,35.25,28.16,21.75,0.0,0.0,2.0,2/40.0,10
P Gheewala,T20I,11,171,227.0,8,72,17,3,28.5,7.96,28.38,42.11,21.38,0.0,0.0,3.0,3/21.0,11
A Perera,T20I,10,149,123.0,8,87,6,1,24.8,4.95,15.38,58.39,18.62,0.0,0.0,2.0,2/6.0,27
A Mithun,IPL,16,297,472.0,8,95,15,9,49.5,9.54,59.0,31.99,37.12,0.0,0.0,2.0,2/20.0,16
Qadeer Ahmed,T20I,9,170,235.0,8,75,2,2,28.3,8.29,29.38,44.12,21.25,0.0,0.0,2.0,2/25.0,9
C Chatonzwa,T20I,11,169,191.0,8,77,1,1,28.2,6.78,23.88,45.56,21.12,1.0,0.0,5.0,5/22.0,12
A Levaci,T20I,6,93,92.0,8,53,12,3,15.5,5.94,11.5,56.99,11.62,0.0,0.0,3.0,3/27.0,7
WB Rankin,Test,3,449,304.0,8,298,0,6,74.8,4.06,38.0,66.37,56.12,0.0,1.0,4.0,4/91.0,3
VM Nyauchi,ODI,10,403,353.0,8,250,25,1,67.2,5.26,44.12,62.03,50.38,0.0,0.0,2.0,2/38.0,10
M Chadha,T20I,5,97,145.0,8,34,0,1,16.2,8.97,18.12,35.05,12.12,0.0,0.0,2.0,2/21.0,11
DR Sams,T20I,10,180,305.0,8,60,8,0,30.0,10.17,38.12,33.33,22.5,0.0,0.0,2.0,2/30.0,10
Sadamali Bhakshala,T20I,19,334,391.0,8,147,33,0,55.7,7.02,48.88,44.01,41.75,0.0,0.0,2.0,2/16.0,20
A Simelane,T20I,10,164,271.0,8,40,6,2,27.3,9.91,33.88,24.39,20.5,0.0,0.0,2.0,2/27.0,10
Saeed Waqar Ali,T20I,11,163,277.0,8,64,8,3,27.2,10.2,34.62,39.26,20.38,0.0,0.0,2.0,2/23.0,11
R Airee,T20I,6,96,95.0,8,32,7,0,16.0,5.94,11.88,33.33,12.0,0.0,0.0,3.0,3/13.0,10
HMHE Parsons,T20I,5,47,81.0,8,21,2,0,7.8,10.34,10.12,44.68,5.88,1.0,0.0,7.0,7/26.0,14
SG Satghare,Test,2,263,121.0,8,204,0,1,43.8,2.76,15.12,77.57,32.88,0.0,2.0,4.0,4/57.0,2
Javeria Khan,ODI,13,289,267.0,8,143,10,0,48.2,5.54,33.38,49.48,36.12,0.0,0.0,2.0,2/6.0,55
M Ntini,IPL,9,212,242.0,8,108,1,2,35.3,6.85,30.25,50.94,26.5,0.0,1.0,4.0,4/21.0,9
Jai Sinh,T20I,5,84,121.0,8,33,5,0,14.0,8.64,15.12,39.29,10.5,1.0,0.0,5.0,5/22.0,14
AA Chavan,IPL,13,248,326.0,8,110,7,0,41.3,7.89,40.75,44.35,31.0,0.0,0.0,2.0,2/22.0,13
Mohammad Shahzad (2),ODI,3,156,132.0,8,82,2,0,26.0,5.08,16.5,52.56,19.5,0.0,1.0,4.0,4/25.0,3
Mohammad Tauqir,ODI,8,342,284.0,8,168,4,1,57.0,4.98,35.5,49.12,42.75,0.0,0.0,3.0,3/46.0,8
Pratis GC,T20I,10,204,275.0,8,68,7,0,34.0,8.09,34.38,33.33,25.5,0.0,0.0,3.0,3/13.0,10
AN Lascu,T20I,7,128,193.0,8,50,3,2,21.3,9.05,24.12,39.06,16.0,1.0,0.0,5.0,5/21.0,19
APC Kilowan,ODI,4,198,62.0,8,168,11,0,33.0,1.88,7.75,84.85,24.75,0.0,1.0,4.0,4/6.0,4
Abubacarr Kuyateh,T20I,8,150,208.0,8,69,15,0,25.0,8.32,26.0,46.0,18.75,0.0,0.0,2.0,2/12.0,8
W Prestwidge,BBL,8,118,195.0,8,43,5,1,19.7,9.92,24.38,36.44,14.75,0.0,0.0,2.0,2/16.0,9
CS Martin,T20I,6,139,193.0,8,62,2,1,23.2,8.33,24.12,44.6,17.38,0.0,0.0,2.0,2/13.0,6
CT Mumba,ODI,7,274,326.0,8,138,9,2,45.7,7.14,40.75,50.36,34.25,0.0,0.0,3.0,3/63.0,7
GH Lewis,ODI,11,379,373.0,8,166,11,2,63.2,5.91,46.62,43.8,47.38,0.0,0.0,2.0,2/28.0,58
Rumman Raees,T20I,8,174,220.0,8,76,5,1,29.0,7.59,27.5,43.68,21.75,0.0,0.0,2.0,2/23.0,8
Mahmudullah,CPL,8,156,188.0,8,68,6,0,26.0,7.23,23.5,43.59,19.5,0.0,0.0,3.0,3/25.0,13
Mahmudullah,PSL,7,105,137.0,8,38,0,1,17.5,7.83,17.12,36.19,13.12,0.0,0.0,3.0,3/21.0,9
Malyun Yusuf,T20I,6,103,83.0,8,67,23,1,17.2,4.83,10.38,65.05,12.88,0.0,1.0,4.0,4/2.0,8
Manpreet Singh,T20I,15,248,325.0,8,89,7,1,41.3,7.86,40.62,35.89,31.0,0.0,0.0,3.0,3/11.0,73
Meghana Lakayil,T20I,4,96,78.0,8,46,7,0,16.0,4.88,9.75,47.92,12.0,0.0,0.0,3.0,3/24.0,4
T Musekiwa,T20I,5,109,102.0,8,49,4,1,18.2,5.61,12.75,44.95,13.62,0.0,0.0,2.0,2/10.0,42
RL Grundy,T20I,9,198,177.0,8,87,7,0,33.0,5.36,22.12,43.94,24.75,0.0,0.0,2.0,2/20.0,9
K Jaikaran,T20I,6,84,97.0,8,44,6,0,14.0,6.93,12.12,52.38,10.5,0.0,0.0,3.0,3/20.0,14
Likitha Yadav,T20I,5,97,69.0,8,54,15,5,16.2,4.27,8.62,55.67,12.12,0.0,0.0,3.0,3/10.0,5
DR Sams,PSL,10,205,340.0,8,61,12,1,34.2,9.95,42.5,29.76,25.62,0.0,0.0,2.0,2/27.0,10
Anshuman Rath,T20I,14,216,290.0,8,67,4,2,36.0,8.06,36.25,31.02,27.0,0.0,0.0,3.0,3/6.0,80
BP Adapaka,T20I,10,200,233.0,8,78,8,1,33.3,6.99,29.12,39.0,25.0,0.0,0.0,3.0,3/28.0,11
JDS Neesham,IPL,13,216,334.0,8,68,6,0,36.0,9.28,41.75,31.48,27.0,0.0,0.0,3.0,3/12.0,14
AS van Beuge,ODI,6,181,158.0,8,87,2,0,30.2,5.24,19.75,48.07,22.62,1.0,0.0,5.0,5/34.0,7
OEG Baartman,ODI,6,252,221.0,8,145,11,0,42.0,5.26,27.62,57.54,31.5,0.0,0.0,2.0,2/32.0,6
OGL Bascome,T20I,6,85,100.0,8,29,4,0,14.2,7.06,12.5,34.12,10.62,1.0,0.0,5.0,5/10.0,35
Omar Hayat,T20I,5,84,115.0,8,28,0,0,14.0,8.21,14.38,33.33,10.5,0.0,0.0,3.0,3/23.0,6
AAhan Achar,T20I,9,156,152.0,8,61,0,0,26.0,5.85,19.0,39.1,19.5,0.0,0.0,2.0,2/11.0,9
YYM Jakda,T20I,7,114,162.0,8,43,10,1,19.0,8.53,20.25,37.72,14.25,0.0,0.0,2.0,2/7.0,13
V Buruka,T20I,4,82,83.0,8,42,4,1,13.7,6.07,10.38,51.22,10.25,0.0,0.0,3.0,3/22.0,4
HHC Gunaratne,ODI,4,198,167.0,8,119,7,0,33.0,5.06,20.88,60.1,24.75,1.0,0.0,5.0,5/37.0,5
I Kamara,T20I,6,91,79.0,8,43,0,0,15.2,5.21,9.88,47.25,11.38,0.0,0.0,3.0,3/4.0,9
P Vastrakar,WPL,12,173,202.0,8,74,2,2,28.8,7.01,25.25,42.77,21.62,0.0,0.0,2.0,2/14.0,18
AR Nurse,T20I,13,240,318.0,8,70,3,0,40.0,7.95,39.75,29.17,30.0,0.0,0.0,2.0,2/6.0,13
Humaira Tasneem,T20I,6,65,68.0,8,30,2,0,10.8,6.28,8.5,46.15,8.12,0.0,0.0,2.0,2/5.0,11
S Gokhale,T20I,10,144,124.0,8,80,8,0,24.0,5.17,15.5,55.56,18.0,0.0,0.0,3.0,3/13.0,41
LH Ferguson,BBL,6,145,172.0,8,66,7,1,24.2,7.12,21.5,45.52,18.12,0.0,0.0,3.0,3/19.0,6
Shivam Sharma,ODI,7,282,261.0,8,147,7,0,47.0,5.55,32.62,52.13,35.25,0.0,1.0,4.0,4/66.0,7
A Neill,T20I,4,96,120.0,8,43,6,0,16.0,7.5,15.0,44.79,12.0,0.0,0.0,3.0,3/19.0,4
H Chamto,T20I,14,234,198.0,8,116,15,0,39.0,5.08,24.75,49.57,29.25,0.0,0.0,2.0,2/8.0,18
V Permaul,ODI,7,331,271.0,8,177,6,0,55.2,4.91,33.88,53.47,41.38,0.0,0.0,3.0,3/40.0,7
Mahbubul Alam,ODI,5,222,280.0,8,119,15,0,37.0,7.57,35.0,53.6,27.75,0.0,0.0,2.0,2/37.0,5
JW Hastings,T20I,8,169,212.0,8,73,5,1,28.2,7.53,26.5,43.2,21.12,0.0,0.0,3.0,3/13.0,8
Amandeep Singh,T20I,11,180,218.0,8,75,3,0,30.0,7.27,27.25,41.67,22.5,0.0,0.0,3.0,3/16.0,15
Shahab Alam,T20I,9,160,238.0,8,63,2,0,26.7,8.93,29.75,39.38,20.0,0.0,0.0,2.0,2/15.0,13
Shahid Afridi,BBL,6,143,188.0,8,47,4,0,23.8,7.89,23.5,32.87,17.88,0.0,0.0,3.0,3/35.0,6
DR Smith,T20I,11,143,212.0,8,44,8,1,23.8,8.9,26.5,30.77,17.88,0.0,0.0,3.0,3/24.0,33
SC Kumari,T20I,8,102,63.0,8,75,5,0,17.0,3.71,7.88,73.53,12.75,0.0,1.0,4.0,4/7.0,8
T Muzarabani,ODI,6,252,191.0,8,159,4,1,42.0,4.55,23.88,63.1,31.5,0.0,1.0,4.0,4/62.0,6
LN McCarthy,T20I,9,192,182.0,8,92,6,0,32.0,5.69,22.75,47.92,24.0,0.0,0.0,2.0,2/9.0,9
Yudhvir Singh,IPL,9,139,253.0,8,56,6,1,23.2,10.92,31.62,40.29,17.38,0.0,0.0,3.0,3/47.0,9
LR Doolan,T20I,6,126,126.0,8,44,8,0,21.0,6.0,15.75,34.92,15.75,0.0,0.0,3.0,3/16.0,7
A Ilahi,T20I,4,96,74.0,8,53,14,0,16.0,4.62,9.25,55.21,12.0,0.0,0.0,3.0,3/4.0,4
Hassan Khan,CPL,14,221,291.0,8,78,2,0,36.8,7.9,36.38,35.29,27.62,0.0,0.0,2.0,2/21.0,15
SKDT Madusanka,T20I,9,108,172.0,8,42,3,0,18.0,9.56,21.5,38.89,13.5,0.0,0.0,3.0,3/16.0,15
LC Sthalekar,ODI,8,440,261.0,8,290,4,0,73.3,3.56,32.62,65.91,55.0,0.0,0.0,2.0,2/20.0,8
J Stanigze,T20I,6,100,123.0,8,38,6,0,16.7,7.38,15.38,38.0,12.5,0.0,0.0,2.0,2/20.0,7
E Beukes,T20I,10,160,207.0,8,52,6,1,26.7,7.76,25.88,32.5,20.0,0.0,0.0,3.0,3/26.0,29
JG Bethell,T20I,6,93,135.0,8,32,3,0,15.5,8.71,16.88,34.41,11.62,0.0,1.0,4.0,4/11.0,36
JG Bethell,Test,6,388,255.0,8,238,1,0,64.7,3.94,31.88,61.34,48.5,0.0,1.0,4.0,4/75.0,9
M de Lange,T20I,6,142,228.0,8,51,13,2,23.7,9.63,28.5,35.92,17.75,0.0,0.0,2.0,2/24.0,6
JS Ndanu,T20I,17,226,223.0,8,118,24,0,37.7,5.92,27.88,52.21,28.25,0.0,0.0,2.0,2/21.0,21
Regina Khan,T20I,7,151,140.0,8,81,3,1,25.2,5.56,17.5,53.64,18.88,0.0,0.0,3.0,3/8.0,8
RJ Gleeson,BBL,8,146,244.0,8,39,12,0,24.3,10.03,30.5,26.71,18.25,0.0,0.0,3.0,3/32.0,8
RJ van Vuuren,ODI,5,302,298.0,8,165,5,2,50.3,5.92,37.25,54.64,37.75,1.0,0.0,5.0,5/43.0,5
Arafat Minhas,ODI,3,156,86.0,8,107,1,0,26.0,3.31,10.75,68.59,19.5,1.0,0.0,5.0,5/31.0,3
Azhar Ali,Test,31,868,621.0,8,466,0,1,144.7,4.29,77.62,53.69,108.5,0.0,0.0,2.0,2/49.0,97
LF Muller,T20I,11,121,178.0,8,52,12,2,20.2,8.83,22.25,42.98,15.12,0.0,0.0,2.0,2/11.0,20
G Snyman,ODI,5,297,281.0,8,152,17,9,49.5,5.68,35.12,51.18,37.12,0.0,1.0,4.0,4/47.0,5
S Sandeep Warrier,IPL,10,170,253.0,8,75,6,2,28.3,8.93,31.62,44.12,21.25,0.0,0.0,3.0,3/14.0,10
TA Boult,BBL,8,186,249.0,8,72,5,0,31.0,8.03,31.12,38.71,23.25,0.0,0.0,2.0,2/20.0,8
Riyaa Bhasin,T20I,6,74,62.0,8,48,9,2,12.3,5.03,7.75,64.86,9.25,0.0,0.0,3.0,3/1.0,23
Roheed Akhtar,T20I,11,222,232.0,8,95,8,0,37.0,6.27,29.0,42.79,27.75,0.0,0.0,2.0,2/12.0,12
DV Macome,T20I,6,108,131.0,8,52,6,0,18.0,7.28,16.38,48.15,13.5,0.0,0.0,3.0,3/24.0,11
JP Greaves,ODI,12,456,509.0,8,220,16,0,76.0,6.7,63.62,48.25,57.0,0.0,0.0,2.0,2/31.0,24
JR Cope,T20I,5,102,142.0,8,41,18,0,17.0,8.35,17.75,40.2,12.75,0.0,1.0,4.0,4/20.0,5
MD Gunathilaka,ODI,22,402,371.0,8,175,3,0,67.0,5.54,46.38,43.53,50.25,0.0,0.0,3.0,3/47.0,46
CL Cairns,Test,2,374,196.0,8,290,0,6,62.3,3.14,24.5,77.54,46.75,0.0,2.0,4.0,4/79.0,2
Nasir Hossain,T20I,11,179,262.0,8,60,9,0,29.8,8.78,32.75,33.52,22.38,0.0,0.0,2.0,2/20.0,27
Sajjida Shah,ODI,3,178,88.0,8,124,0,2,29.7,2.97,11.0,69.66,22.25,0.0,1.0,4.0,4/14.0,3
AK Gonerara,T20I,10,148,165.0,8,78,21,4,24.7,6.69,20.62,52.7,18.5,0.0,0.0,3.0,3/9.0,12
SEA Ruck,ODI,6,349,252.0,8,238,10,0,58.2,4.33,31.5,68.19,43.62,0.0,0.0,2.0,2/19.0,6
Muhammad Tanveer,T20I,16,215,302.0,8,65,4,0,35.8,8.43,37.75,30.23,26.88,0.0,0.0,2.0,2/31.0,49
Vani Dhanuka,T20I,4,79,62.0,8,41,11,0,13.2,4.71,7.75,51.9,9.88,0.0,0.0,3.0,3/13.0,4
Surinder Singh,T20I,8,122,171.0,8,45,7,2,20.3,8.41,21.38,36.89,15.25,0.0,0.0,3.0,3/12.0,8
LA Dawson,Test,4,898,438.0,8,644,0,0,149.7,2.93,54.75,71.71,112.25,0.0,1.0,4.0,4/101.0,4
SS Weerakkody,T20I,21,252,256.0,8,121,7,0,42.0,6.1,32.0,48.02,31.5,0.0,0.0,2.0,2/13.0,24
ST Frohnmayer,T20I,14,236,250.0,8,111,32,2,39.3,6.36,31.25,47.03,29.5,0.0,0.0,2.0,2/13.0,18
SJ Coyte (2),BBL,11,225,267.0,8,91,12,3,37.5,7.12,33.38,40.44,28.12,0.0,0.0,2.0,2/14.0,11
